Time (Hour)	Akumulasi Keausan Pompa : Eksperimen_Pompa_01	Akumulasi Kotoran Filter : Eksperimen_Pompa_01	Efek Hambatan Filter : Eksperimen_Pompa_01	Efisiensi Aktual : Eksperimen_Pompa_01	Laju Aliran Masuk : Eksperimen_Pompa_01	RPM Aktual : Eksperimen_Pompa_01
0	0	0	0	0.75	1034.48	2000
1	6.38906	2.06897	0.310345	0.749744	1041.84	2015.52
2	12.8937	4.15265	0.622898	0.749484	1049.25	2031.14
3	19.5165	6.25115	0.937672	0.749219	1056.69	2046.88
4	26.2602	8.36453	1.25468	0.74895	1064.18	2062.73
5	33.1277	10.4929	1.57393	0.748675	1071.71	2078.7
6	40.1217	12.6363	1.89545	0.748395	1079.29	2094.77
7	47.2453	14.7949	2.21924	0.74811	1086.91	2110.96
8	54.5015	16.9687	2.54531	0.74782	1094.57	2127.27
9	61.8934	19.1579	2.87368	0.747524	1102.27	2143.68
10	69.4242	21.3624	3.20436	0.747223	1110.01	2160.22
11	77.0972	23.5824	3.53736	0.746916	1117.8	2176.87
12	84.9158	25.818	3.8727	0.746603	1125.63	2193.64
13	92.8836	28.0693	4.21039	0.746285	1133.5	2210.52
14	101.004	30.3363	4.55044	0.74596	1141.41	2227.52
15	109.281	32.6191	4.89286	0.745629	1149.36	2244.64
16	117.718	34.9178	5.23767	0.745291	1157.36	2261.88
17	126.319	37.2325	5.58488	0.744947	1165.39	2279.24
18	135.088	39.5633	5.9345	0.744596	1173.47	2296.72
19	144.03	41.9102	6.28654	0.744239	1181.58	2314.33
20	153.148	44.2734	6.64101	0.743874	1189.74	2332.05
21	162.447	46.6529	6.99793	0.743502	1197.94	2349.9
22	171.932	49.0488	7.35731	0.743123	1206.17	2367.87
23	181.606	51.4611	7.71916	0.742736	1214.44	2385.96
24	191.476	53.89	8.0835	0.742341	1222.76	2404.17
25	201.545	56.3355	8.45033	0.741938	1231.11	2422.52
26	211.819	58.7977	8.81966	0.741527	1239.49	2440.98
27	222.303	61.2767	9.19151	0.741108	1247.92	2459.58
28	233.003	63.7725	9.56588	0.74068	1256.38	2478.29
29	243.924	66.2853	9.94279	0.740243	1264.88	2497.14
30	255.072	68.8151	10.3223	0.739797	1273.41	2516.11
31	266.452	71.3619	10.7043	0.739342	1281.98	2535.21
32	278.071	73.9258	11.0889	0.738877	1290.58	2554.44
33	289.936	76.507	11.476	0.738403	1299.22	2573.8
34	302.051	79.1054	11.8658	0.737918	1307.88	2593.29
35	314.425	81.7212	12.2582	0.737423	1316.58	2612.91
36	327.064	84.3544	12.6532	0.736917	1325.31	2632.66
37	339.974	87.005	13.0507	0.736401	1334.07	2652.54
38	353.164	89.6731	13.451	0.735873	1342.86	2672.55
39	366.641	92.3589	13.8538	0.735334	1351.68	2692.69
40	380.412	95.0622	14.2593	0.734784	1360.53	2712.97
41	394.486	97.7833	14.6675	0.734221	1369.4	2733.37
42	408.871	100.522	15.0783	0.733645	1378.3	2753.92
43	423.575	103.279	15.4918	0.733057	1387.22	2774.59
44	438.607	106.053	15.908	0.732456	1396.16	2795.4
45	453.976	108.845	16.3268	0.731841	1405.13	2816.34
46	469.692	111.656	16.7484	0.731212	1414.12	2837.42
47	485.763	114.484	17.1726	0.730569	1423.12	2858.63
48	502.201	117.33	17.5995	0.729912	1432.14	2879.98
49	519.015	120.194	18.0292	0.729239	1440.45	2900
50	536.189	123.075	18.4613	0.728552	1438.64	2900
51	553.363	125.953	18.8929	0.727865	1436.84	2900
52	570.537	128.826	19.324	0.727179	1435.03	2900
53	587.712	131.696	19.7545	0.726492	1433.23	2900
54	604.886	134.563	20.1844	0.725805	1431.42	2900
55	622.06	137.426	20.6139	0.725118	1429.62	2900
56	639.234	140.285	21.0427	0.724431	1427.82	2900
57	656.408	143.141	21.4711	0.723744	1426.02	2900
58	673.582	145.993	21.8989	0.723057	1424.21	2900
59	690.756	148.841	22.3262	0.72237	1422.41	2900
60	707.931	151.686	22.7529	0.721683	1420.61	2900
61	725.105	154.527	23.1791	0.720996	1418.81	2900
62	742.279	157.365	23.6047	0.720309	1417.01	2900
63	759.453	160.199	24.0298	0.719622	1415.21	2900
64	776.627	163.029	24.4544	0.718935	1413.42	2900
65	793.801	165.856	24.8784	0.718248	1411.62	2900
66	810.975	168.679	25.3019	0.717561	1409.82	2900
67	828.15	171.499	25.7248	0.716874	1408.02	2900
68	845.324	174.315	26.1472	0.716187	1406.23	2900
69	862.498	177.127	26.5691	0.7155	1404.43	2900
70	879.672	179.936	26.9904	0.714813	1402.64	2900
71	896.846	182.742	27.4112	0.714126	1400.84	2900
72	914.02	185.543	27.8315	0.713439	1399.05	2900
73	931.194	188.341	28.2512	0.712752	1397.25	2900
74	948.369	191.136	28.6704	0.712065	1395.46	2900
75	965.543	193.927	29.089	0.711378	1393.67	2900
76	982.717	196.714	29.5071	0.710691	1391.88	2900
77	999.891	199.498	29.9247	0.710004	1390.08	2900
78	1017.07	202.278	30.3417	0.709317	1388.29	2900
79	1034.24	205.055	30.7582	0.70863	1386.5	2900
80	1051.41	207.828	31.1741	0.707943	1384.71	2900
81	1068.59	210.597	31.5896	0.707256	1382.92	2900
82	1085.76	213.363	32.0044	0.70657	1381.13	2900
83	1102.94	216.125	32.4188	0.705883	1379.35	2900
84	1120.11	218.884	32.8326	0.705196	1377.56	2900
85	1137.28	221.639	33.2458	0.704509	1375.77	2900
